,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
TRAVELLER DR. JUDAS,SPIDER-MAN CLONE/BEN,WATSON ANNA,RAVEN LT. JACOB,TOWER BLAKE,LOCKER MR.,STUNNER/ANGELINA BRA,WATSON-PARKER MARY ,SPIDER-MAN/PETER PAR,KAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWER BLAKE,SPIDER-MAN CLONE/BEN,WATSON ANNA,RAVEN LT. JACOB,SPIDER-MAN/PETER PAR,HOBGOBLIN II/RODERIC,HOBGOBLIN III/LEFTY ,JAMESON J. JONAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKER MR.,SPIDER-MAN CLONE/BEN,WATSON ANNA,RAVEN LT. JACOB,TOWER BLAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDSIGHT LAD/CARLTO,WATSON-PARKER MARY ,SPEEDBALL II/DARRION,SPIDER-MAN/PETER PAR,FIRESTAR/ANGELICA JO,SPIDER-MAN CLONE/BEN,GEE/ALEX POWER,TURBO II (A)/MICHIKO,JUSTICE II/VANCE AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEEDBALL II/DARRION,WATSON-PARKER MARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE/ALEX POWER,WATSON-PARKER MARY ,SPEEDBALL II/DARRION,SPIDER-MAN/PETER PAR,FIRESTAR/ANGELICA JO,SPIDER-MAN CLONE/BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURBO II (A)/MICHIKO,WATSON-PARKER MARY ,SPEEDBALL II/DARRION,SPIDER-MAN/PETER PAR,FIRESTAR/ANGELICA JO,SPIDER-MAN CLONE/BEN,GEE/ALEX POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK CAT/FELICIA HA,SPIDER-MAN/PETER PAR,SPIDER-MAN CLONE/BEN,D'SPAYRE,WATSON-PARKER MARY ,PROUST PAUL,OSBORN LIZ ALLAN,SLOAN DR.,UATU,HOCHBERG ROGER,BOUNTY II,BLOODY MARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'SPAYRE,SPIDER-MAN/PETER PAR,SPIDER-MAN CLONE/BEN,LURKING UNKNOWN,WOLFE SARA,PHOBOS,DR. STRANGE/STEPHEN ,NOX,DWELLER IN DARKNESS,RINTRAH,DEIMOS,WONG,CLEA,FEAR EATER/KKALLAKKU,NIGHTMARE/EDVARD HAB,CHANG IMEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROUST PAUL,SPIDER-MAN/PETER PAR,SPIDER-MAN CLONE/BEN,D'SPAYRE,WATSON-PARKER MARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHETE/FERDINAND LO,ZARAN/MAXIMILLIAN ZA,SILVER SABLE,MOCKINGBIRD/DR. BARB,HAWK,BATROC/GEORGES BATRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZARAN/MAXIMILLIAN ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER SABLE,ZARAN/MAXIMILLIAN ZA,TRICKSHOT,PEREGRINE LE/FRANCK,RED SKULL II/ALBERT ,HAWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRICKSHOT,HAWK,SILVER SABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWORDSMAN/JACQUES DU,HAWK,TRICKSHOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDMAN/WILLIAM BAKE,SILVER SABLE,PEREGRINE LE/FRANCK,RED SKULL II/ALBERT ,HAWK,JAMESON J. JONAH,ANT-MAN/DR. HENRY J.,WATSON ANNA,PARKER MAY,KRAVEN THE HUNTER/SE,MR. FANTASTIC/REED R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEREGRINE LE/FRANCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED SKULL II/ALBERT ,PEREGRINE LE/FRANCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUDRUN [ASGARDIAN],VOLSTAGG,HOGUN [ASGARDIAN],FANDRAL [ASGARDIAN],VIZIER,ODIN [ASGARDIAN],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLSTAGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOGUN [ASGARDIAN],VOLSTAGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANDRAL [ASGARDIAN],VOLSTAGG,HOGUN [ASGARDIAN],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIER,VOLSTAGG,HOGUN [ASGARDIAN],FANDRAL [ASGARDIAN],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODIN [ASGARDIAN],VOLSTAGG,HOGUN [ASGARDIAN],FANDRAL [ASGARDIAN],VIZIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINO III/BEATRICE/,HYDROMAN/MORRIE BENC,STILT-MAN/WILBUR DAY,SUMMERS NATHAN CHRI,BLOCKADE/DEXTER PARI,MERRYWEATHER IRENE,BLAQUESMITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROMAN/MORRIE BENC,BOUNTY II,BLOODY MARY,BLACK CAT/FELICIA HA,ANDERSON BAXTER,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILT-MAN/WILBUR DAY,HYDROMAN/MORRIE BENC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCKADE/DEXTER PARI,HYDROMAN/MORRIE BENC,STILT-MAN/WILBUR DAY,SUMMERS NATHAN CHRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRYWEATHER IRENE,HYDROMAN/MORRIE BENC,STILT-MAN/WILBUR DAY,SUMMERS NATHAN CHRI,BLOCKADE/DEXTER PARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAQUESMITH,HYDROMAN/MORRIE BENC,STILT-MAN/WILBUR DAY,SUMMERS NATHAN CHRI,BLOCKADE/DEXTER PARI,MERRYWEATHER IRENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORTHINGTON KATHRYN,WORTHINGTON WARREN ,ANGEL/WARREN KENNETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORTHINGTON WARREN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VULTURE/ADRIAN TOOME,VULTURE II/BLACKIE D,OSBORN HARRY,STACY CAPT. GEORGE,LEEDS BETTY BRANT,JACKAL/MILES WARREN,STACY GWEN,JAMESON J. JONAH,SPIDER-MAN/PETER PAR,GREEN GOBLIN/NORMAN ,WATSON-PARKER MARY ,MORGAN,HITMAN/LT. BURT KENY,ANT-MAN/DR. HENRY J.,WATSON ANNA,PARKER MAY,KRAVEN THE HUNTER/SE,MR. FANTASTIC/REED R,SANDMAN/WILLIAM BAKE,OSBORN LIZ ALLAN,DR. OCTOPUS/OTTO OCT,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S,DAREDEVIL/MATT MURDO,INVISIBLE WOMAN/SUE ,WASP/JANET VAN DYNE ,LEEDS NED,CAPTAIN AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VULTURE II/BLACKIE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBORN HARRY,VULTURE II/BLACKIE D,ROBERTSON JOE,GRANT GLORIA GLORY,PARKER MAY,WATSON ANNA,SILVERMANE/SILVIO MA,WATSON-PARKER MARY ,GREEN GOBLIN III/BAR,SPIDER-MAN/PETER PAR,OSBORN LIZ ALLAN,SLOAN DR.,BLACK CAT/FELICIA HA,HOBGOBLIN III/LEFTY ,HOBGOBLIN II/RODERIC,BEYONDER,KINGPIN/WILSON FISK,JAMESON J. JONAH,JAMESON MARLA MADIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STACY CAPT. GEORGE,VULTURE II/BLACKIE D,OSBORN HARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STACY GWEN,VULTURE II/BLACKIE D,OSBORN HARRY,STACY CAPT. GEORGE,LEEDS BETTY BRANT,JACKAL/MILES WARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN GOBLIN/NORMAN ,VULTURE II/BLACKIE D,OSBORN HARRY,STACY CAPT. GEORGE,LEEDS BETTY BRANT,JACKAL/MILES WARREN,STACY GWEN,JAMESON J. JONAH,SPIDER-MAN/PETER PAR,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.,WATSON ANNA,PARKER MAY,KRAVEN THE HUNTER/SE,MR. FANTASTIC/REED R,SANDMAN/WILLIAM BAKE,OSBORN LIZ ALLAN,DR. OCTOPUS/OTTO OCT,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S,DAREDEVIL/MATT MURDO,INVISIBLE WOMAN/SUE ,WASP/JANET VAN DYNE ,LEEDS NED,CAPTAIN AMERICA,VULTURE/ADRIAN TOOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERMANE/SILVIO MA,ROBERTSON JOE,GRANT GLORIA GLORY,PARKER MAY,WATSON ANNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREEN GOBLIN III/BAR,ROBERTSON JOE,GRANT GLORIA GLORY,PARKER MAY,WATSON ANNA,SILVERMANE/SILVIO MA,WATSON-PARKER MARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULASKI JOSEPHINE J,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,KINGPIN/WILSON FISK,OSBORN LIZ ALLAN,PARKER MAY,SPIDER-MAN/PETER PAR,MCKEEVER TINY,THOMPSON EUGENE FLA,IONELLO JASON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIFFMAN MAXIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBORN LIZ ALLAN,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,KINGPIN/WILSON FISK,BEYONDER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,PARKER MAY,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,JAMESON J. JONAH,ANT-MAN/DR. HENRY J.,WATSON ANNA,KRAVEN THE HUNTER/SE,SANDMAN/WILLIAM BAKE,LEEDS BETTY BRANT,DR. OCTOPUS/OTTO OCT,MYSTERIO/QUENTIN BEC,BIG MAN/FREDERICK FO,FANCY DAN,MONTANA,OX,WARREN MR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKEEVER TINY,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,KINGPIN/WILSON FISK,OSBORN LIZ ALLAN,PARKER MAY,SPIDER-MAN/PETER PAR,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,CAPTAIN AMERICA,SUNDOWN/DR. DAVE LOW,LEEDS BETTY BRANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IONELLO JASON,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,KINGPIN/WILSON FISK,OSBORN LIZ ALLAN,PARKER MAY,SPIDER-MAN/PETER PAR,MCKEEVER TINY,THOMPSON EUGENE FLA,HOGAN HAROLD J. HAP,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,CAPTAIN AMERICA,SUNDOWN/DR. DAVE LOW,LEEDS BETTY BRANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLADIATOR II,MASTERS ALICIA REIS,MR. FANTASTIC/REED R,ROSENTHAL BERNIE,CAPTAIN AMERICA,HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR,RICHARDS FRANKLIN B,SPIDER-MAN/PETER PAR,INVISIBLE WOMAN/SUE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHARDS FRANKLIN B,GLADIATOR II,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR,ANNIHILUS,MASTERS ALICIA REIS,MR. FANTASTIC/REED R,ROSENTHAL BERNIE,CAPTAIN AMERICA,NOVA II/FRANKIE RAYE,SCARLET WITCH/WANDA ,CAPTAIN MARVEL II/MO,THOR/DR. DONALD BLAK,SHE-HULK/JENNIFER WA,STARFOX/EROS,WASP/JANET VAN DYNE ,GALACTUS/GALAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISHEM [CELESTIAL],ICEMAN/ROBERT BOBBY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIRAN,ICEMAN/ROBERT BOBBY ,ARISHEM [CELESTIAL],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMMENON [CELESTIAL],ICEMAN/ROBERT BOBBY ,ARISHEM [CELESTIAL],ZIRAN,BEAST/HENRY &HANK& P,SUMMERS NATHAN CHRI,CYCLOPS/SCOTT SUMMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONE ABOVE ALL [CELES,ICEMAN/ROBERT BOBBY ,ARISHEM [CELESTIAL],ZIRAN,GAMMENON [CELESTIAL],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WONG,CLEA,UMAR,DR. STRANGE/STEPHEN ,PHOBOS,NOX,DWELLER IN DARKNESS,RINTRAH,DEIMOS,TOPAZ,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,PARKER MAY,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEA,LURKING UNKNOWN,WOLFE SARA,D'SPAYRE,DWELLER IN DARKNESS,PHOBOS,DR. STRANGE/STEPHEN ,NOX,RINTRAH,DEIMOS,WONG,TOPAZ,PIP/PRINCE GOFERN,DR. DOOM/VICTOR VON ,SCARLET WITCH/WANDA ,DR. DRUID/ANTHONY LU,HULK/DR. ROBERT BRUC,DRAX/ARTHUR DOUGLAS,HELA [ASGARDIAN],WARLOCK II/ADAM WARL,BLESSING MORGANA,MEPHISTA,BARON BLOOD II/VICTO,MEPHISTO,SATANNISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAR,CLEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALRAUNE MARLENE,DAREDEVIL/MATT MURDO,NEDDA,LANDERS GENA,CRAWLEY BETRAND,MOON KNIGHT/MARC SPE,MANOLIS LT. NICK,FRENCHIE/JEAN-PAUL D,SAMUELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JESTER/JONATHAN POWE,DAREDEVIL/MATT MURDO,NEDDA,LANDERS GENA,CRAWLEY BETRAND,MOON KNIGHT/MARC SPE,MANOLIS LT. NICK,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAREDEVIL/MATT MURDO,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,PARKER MAY,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,OSBORN LIZ ALLAN,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,CAPTAIN AMERICA,SUNDOWN/DR. DAVE LOW,LEEDS BETTY BRANT,MCKEEVER TINY,IONELLO JASON,JAMESON J. JONAH,ANT-MAN/DR. HENRY J.,WATSON ANNA,KRAVEN THE HUNTER/SE,SANDMAN/WILLIAM BAKE,DR. OCTOPUS/OTTO OCT,MASTERS ALICIA REIS,RICHARDS FRANKLIN B,GAMBONNO ERNESTO,PAGE KAREN,BRUTO THE STRONGMAN/,RINGMASTER/MAYNARD T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEDDA,DAREDEVIL/MATT MURDO,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,BUSHMAN RAOUL,LANDERS RICKY,LANDERS GENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDERS GENA,DAREDEVIL/MATT MURDO,NEDDA,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,BUSHMAN RAOUL,LANDERS RICKY,CRAWLEY BETRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAWLEY BETRAND,DAREDEVIL/MATT MURDO,NEDDA,LANDERS GENA,FRENCHIE/JEAN-PAUL D,ALRAUNE MARLENE,BUSHMAN RAOUL,LANDERS RICKY,SAMUELS,LANDERS RAY,MOON KNIGHT/MARC SPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
